,close,returns,vol,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_5,vol_lag_10,vol_lag_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,vol_roll_mean_5,vol_roll_std_5,vol_roll_mean_10,vol_roll_std_10,vol_roll_mean_20,vol_roll_std_20,vol_roll_mean_60,vol_roll_std_60,rsi_14,volume_zscore,day_of_week,month,quarter,week_of_month,target
2019-05-31,1830.33203125,0.0234122213359764,0.2078976909206717,0.2341462868962462,0.2304623232402623,0.2241164940349032,0.2360293358867539,0.2184417548064528,0.3194175546179471,0.0183863400189761,0.0162989440742591,0.0090504878622683,-0.0029451523412944,0.23200438151075436,0.004899807626201209,0.23296764733133699,0.007231549212053347,0.2631880808560233,0.03312750115986902,0.2549323363888862,0.033447237857519255,51.66187239524521,1.4732934954620898,4,5,2,5,0.2158974696224853
2019-06-03,1868.454345703125,0.0208280868182642,0.2158974696224853,0.2078976909206717,0.2341462868962462,0.2304623232402623,0.2352674674956063,0.2319383725112403,0.3120569657322721,0.0234122213359764,0.0183863400189761,0.0162989440742591,0.0034911174501437,0.22637805251753793,0.011210339455974211,0.2319132409427588,0.009871626954293318,0.2576120876711595,0.03254521941492999,0.25427177214302893,0.033982959578534803,59.4403001209981,0.8806824265811397,0,6,2,1,0.2274618726633388
2019-06-04,1833.8460693359373,-0.018522409416519,0.2274618726633388,0.2158974696224853,0.2078976909206717,0.2341462868962462,0.2241164940349032,0.2367514024755618,0.3124446674539951,0.0208280868182642,0.0234122213359764,0.0183863400189761,0.0090504878622683,0.22250405294291373,0.010705937587613651,0.23030915065388333,0.011094615367432838,0.2528041128656702,0.031151722944499076,0.25316349063211113,0.03413424663757448,70.3487528353687,-0.30553059058124554,1,6,2,1,0.2296990969641978
2019-06-06,1819.5654296875,-0.0077872619121236,0.2296990969641978,0.2274618726633388,0.2158974696224853,0.2078976909206717,0.2304623232402623,0.2395249225083216,0.2872052651014765,-0.018522409416519,0.0208280868182642,0.0234122213359764,0.0162989440742591,0.22317312866860087,0.01093400769378611,0.22938019767266105,0.01088214265242627,0.2485549731261374,0.028249170106258232,0.25234175963395733,0.034149882410377155,62.94654042767653,0.8705939031220489,3,6,2,1,0.2288718697419613
2019-06-07,1832.712158203125,0.0072252024033467,0.2288718697419613,0.2296990969641978,0.2274618726633388,0.2158974696224853,0.2341462868962462,0.2429981134580211,0.2837770980151254,-0.0077872619121236,-0.018522409416519,0.0208280868182642,0.0183863400189761,0.22302048341338798,0.010811446466742992,0.2283976151182487,0.010291964656276036,0.24567966471927347,0.02700745282082996,0.251582379015442,0.034138156466973255,59.11561221647298,-0.17755739251006564,4,6,2,1,0.2317033595944795
2019-06-10,1874.5032958984373,0.0228028921553542,0.2317033595944795,0.2288718697419613,0.2296990969641978,0.2274618726633388,0.2078976909206717,0.2360293358867539,0.2907032785432655,0.0072252024033467,-0.0077872619121236,-0.018522409416519,0.0234122213359764,0.22196559998253096,0.00964936296312548,0.22698499074664266,0.008946856169752722,0.24293440330561525,0.02568944693551363,0.25083942834657935,0.03413927441782354,62.579487535843846,-0.7190771051192358,0,6,2,2,0.231778264436017
2019-06-11,1892.3953857421875,0.0095449764654451,0.231778264436017,0.2317033595944795,0.2288718697419613,0.2296990969641978,0.2158974696224853,0.2352674674956063,0.2894936319388366,0.0228028921553542,0.0072252024033467,-0.0077872619121236,0.0208280868182642,0.22672673371729254,0.006245333198926961,0.22655239311741524,0.008557047364488089,0.23998440735817597,0.023180331241414158,0.2501211224134936,0.03407990449223409,62.72855650142361,0.15330828073153227,1,6,2,2,0.2188529742953731
2019-06-12,1899.19921875,0.0035953548920455,0.2188529742953731,0.231778264436017,0.2317033595944795,0.2288718697419613,0.2274618726633388,0.2241164940349032,0.2819218647504579,0.0095449764654451,0.0228028921553542,0.0072252024033467,-0.018522409416519,0.22990289267999892,0.0018588854219471617,0.2262034728114563,0.008226969822918543,0.23709863898303496,0.020077287054036292,0.24949134145256943,0.03406363620865212,70.053767573552,-0.5061395242995425,2,6,2,2,0.2202123736821792
2019-06-13,1893.4871826171875,-0.0030076024023283,0.2202123736821792,0.2188529742953731,0.231778264436017,0.2317033595944795,0.2296990969641978,0.2304623232402623,0.2785883898986677,0.0035953548920455,0.0095449764654451,0.0228028921553542,-0.0077872619121236,0.22818111300640576,0.00536519597523882,0.2256771208375033,0.008537831992707048,0.23394519446028075,0.0174472892150053,0.24865464773610796,0.0341912697188962,75.82434173945333,0.3512984783854568,3,6,2,2,0.2204821024914255
2019-06-14,1893.8232421875,0.0001774818300317,0.2204821024914255,0.2202123736821792,0.2188529742953731,0.231778264436017,0.2288718697419613,0.2341462868962462,0.278476427755053,-0.0030076024023283,0.0035953548920455,0.0095449764654451,0.0072252024033467,0.22628376835000202,0.00629162655452305,0.22465212588169498,0.008514760576415762,0.23102639364945632,0.014158757048846301,0.24787420837578714,0.0342987808540734,80.19732717052389,-0.8079300610361487,4,6,2,2,0.2185050150468174
2019-06-17,1889.370849609375,-0.0023510074641296,0.2185050150468174,0.2204821024914255,0.2202123736821792,0.2188529742953731,0.2317033595944795,0.2078976909206717,0.2184417548064528,0.0001774818300317,-0.0030076024023283,0.0035953548920455,0.0228028921553542,0.22460581489989484,0.0065425850743837805,0.2232857074412129,0.007895774799947923,0.22812667738627496,0.008886556592791183,0.24709417213197502,0.034381963398272486,81.58334537665966,-1.4304522012385947,0,6,2,3,0.2066771881410742
